,ID,Status,Latitude,Longitude,Max_Speed,Min_Pressure,Low_Rad_NE,Low_Rad_SE,Low_Rad_SW,Low_Rad_NW,Med_Rad_NE,Med_Rad_SE,Med_Rad_SW,Med_Rad_NW,High_Rad_NE,High_Rad_SE,High_Rad_SW,High_Rad_NW,Time,x,y,Season,Zones
97,AL041970, TS,28.6,-99.3,55.0,985.0,,,,,,,,,0.0,0.0,0.0,0.0,1970-08-04 06:00:00,-11054025.435772067,3324832.8408428603,Summer,Mexico_Caribbean
98,AL041970, TS,29.1,-100.8,50.0,992.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-04 12:00:00,-11221004.671961976,3388379.9613727783,Summer,Mexico_Caribbean
99,AL041970, TS,29.7,-102.1,35.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-04 18:00:00,-11365720.009993233,3465045.634728215,Summer,Mexico_Caribbean
100,AL041970, TD,30.3,-103.3,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-05 00:00:00,-11499303.39894516,3542170.6276430194,Summer,Mexico_Caribbean
101,AL041970, TD,30.9,-104.8,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-05 06:00:00,-11666282.635135071,3619769.038150872,Summer,Mexico_Caribbean
102,AL041970, TD,31.5,-105.8,25.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-05 12:00:00,-11777602.125928344,3697855.3303377028,Summer,Mexico_Caribbean
103,AL041970, TD,32.3,-107.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-05 18:00:00,-11911185.514880273,3802755.0318591143,Summer,Mexico_Caribbean
104,AL051970, TD,14.0,-18.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-02 12:00:00,-2003750.8342789244,1574216.548161465,Summer,Atlantic
105,AL051970, TD,14.5,-19.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-02 18:00:00,-2170730.0704688346,1631643.4670073595,Summer,Atlantic
106,AL051970, TD,15.0,-21.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-03 00:00:00,-2337709.3066587453,1689200.1396078935,Summer,Atlantic
107,AL051970, TD,15.5,-22.5,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-03 06:00:00,-2504688.5428486555,1746891.5570753578,Summer,Atlantic
108,AL051970, TD,16.0,-24.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-03 12:00:00,-2671667.779038566,1804722.766257292,Summer,Atlantic
109,AL051970, TD,16.3,-25.5,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-03 18:00:00,-2838647.0152284764,1839490.7129754247,Summer,Atlantic
110,AL051970, TD,16.7,-27.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-04 00:00:00,-3005626.2514183866,1885931.0405919403,Summer,Atlantic
111,AL051970, TD,17.1,-28.5,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-04 06:00:00,-3172605.4876082973,1932468.7404952243,Summer,Atlantic
112,AL051970, TD,17.5,-30.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-04 12:00:00,-3339584.7237982075,1979106.4997243867,Summer,Atlantic
113,AL051970, TD,17.5,-31.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-04 18:00:00,-3506563.9599881177,1979106.4997243867,Summer,Atlantic
114,AL051970, TD,17.5,-33.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-05 00:00:00,-3673543.1961780284,1979106.4997243867,Summer,Atlantic
115,AL051970, TD,17.5,-34.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-05 06:00:00,-3840522.4323679386,1979106.4997243867,Summer,Atlantic
116,AL051970, TD,17.5,-36.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-05 12:00:00,-4007501.668557849,1979106.4997243867,Summer,Atlantic
117,AL051970, TD,17.5,-38.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-05 18:00:00,-4230140.650144396,1979106.4997243867,Summer,Atlantic
118,AL051970, TD,17.5,-40.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-08-06 00:00:00,-4452779.631730943,1979106.4997243867,Summer,Atlantic
